id;safra_abertura;cidade;estado;idade;sexo;limite_total;limite_disp;data; valor ;grupo_estabelecimento;cidade_estabelecimento;pais_estabelecimento
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;1167;10.09.2019;89,9;M.O.T.O.;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;1549;20.06.2019;40,6;SERVI‚O;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;2665;14.10.2019;22,35;SEM RAMO;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;2187;10.04.2020;48,74;FARMACIAS;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;2441;26.07.2019;58,17;SERVI‚O;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;2868;10.02.2020;89,9;M.O.T.O.;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;1612;14.06.2019;46,86;SERVI‚O;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;2024;14.01.2020;22,35;ARTIGOS ELETRO;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;1615;10.12.2019;89,9;M.O.T.O.;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;1287;17.04.2019;8,03;SERVI‚O;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;1145;14.09.2019;22,35;SEM RAMO;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;3319;26.10.2019;168,79;SUPERMERCADOS;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;3536;24.10.2019;50;RESTAURANTE;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;3488;25.10.2019;47,3;RESTAURANTE;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;3155;26.02.2020;34,9;RESTAURANTE;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;1969;9.07.2019;50,21;SERVI‚O;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;3554;29.11.2019;125,8;SERVI‚O;CURITIBA;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;1449;7.04.2019;74,1;SERVI‚O;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;1256;18.04.2019;13,53;SERVI‚O;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;1265;18.04.2019;1;SERVI‚O;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;1202;18.04.2019;63,19;SERVI‚O;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;1560;6.09.2019;180,64;ARTIGOS ELETRO;CURITIBA;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;1561;6.04.2019;8,88;SERVI‚O;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;1523;6.04.2019;38,81;SERVI‚O;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;3709;14.11.2019;22,35;SEM RAMO;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;1924;10.07.2019;89,9;M.O.T.O.;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;2230;26.12.2019;140;SERVI‚O;SAOPAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;2191;26.12.2019;39,96;LOJA DE DEPART;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;3732;10.11.2019;89,9;M.O.T.O.;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;3079;15.11.2019;629,99;VAREJO;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;1257;8.09.2019;299,63;VAREJO;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;2665;13.02.2020;195;VAREJO;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;1895;3.06.2019;37,1;SERVI‚O;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;1820;4.06.2019;64,63;SERVI‚O;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;3586;24.10.2019;31,9;SUPERMERCADOS;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;2007;8.07.2019;7,65;SERVI‚O;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;3031;14.03.2020;22,35;ARTIGOS ELETRO;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;1428;9.04.2019;20,04;SERVI‚O;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;1363;9.04.2019;65,03;SERVI‚O;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;1274;10.04.2019;89,9;M.O.T.O.;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;1720;4.12.2019;28,88;MAT CONSTRUCAO;OSASCO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;2056;4.07.2019;46;SERVI‚O;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;2153;30.12.2019;37,97;VAREJO;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;2310;3.08.2019;41,05;SERVI‚O;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;1749;8.06.2019;47,64;SERVI‚O;SAO PAULO;BR
