id,dat_nsc,renda,latitude,longitude,ano,mes,dia,hora,idade,geracoes,index_right,CD_MUN,NM_MUN,SIGLA_UF,AREA_KM2,qtd_cliente,geometry/type,geometry/coordinates/0,geometry/coordinates/1
a7913705-6129-419b-b3d8-7803962ba018,1978/02/24 00:00:00,"DE R$ 3.800,00 A R$ 7.600,00",-12.699021250004,-38.317282500004,1978,2,24,0,43,1960 a 1979 - Geracao X,1897,2905701,Camaçari,BA,785.421,9,Point,-38.317282500004,-12.699021250004
a510bc1b-1c38-4ccb-a24a-a4c636bad530,1977/04/15 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-12.721508615389,-38.32934615385,1977,4,15,0,44,1960 a 1979 - Geracao X,1897,2905701,Camaçari,BA,785.421,9,Point,-38.32934615385,-12.721508615389
c3b0852d-c564-482f-b18f-5ba58c5b501c,1976/08/08 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-12.71784055556,-38.33266555556,1976,8,8,0,45,1960 a 1979 - Geracao X,1897,2905701,Camaçari,BA,785.421,9,Point,-38.33266555556,-12.71784055556
3066fdb3-55fc-4cf1-ab8b-346aace8decf,1975/06/07 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-12.686286666671,-38.331211111115,1975,6,7,0,46,1960 a 1979 - Geracao X,1897,2905701,Camaçari,BA,785.421,9,Point,-38.331211111115,-12.686286666671
177c8079-7add-4db9-b197-df4cd030ee10,1978/12/28 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-12.687190000004,-38.326690000004,1978,12,28,0,43,1960 a 1979 - Geracao X,1897,2905701,Camaçari,BA,785.421,9,Point,-38.326690000004,-12.687190000004
56c97f4c-2b8d-4bcb-982e-26111e61d964,1979/03/19 00:00:00,"DE R$ 3.800,00 A R$ 7.600,00",-12.694515000004,-38.325140000004,1979,3,19,0,42,1960 a 1979 - Geracao X,1897,2905701,Camaçari,BA,785.421,9,Point,-38.325140000004,-12.694515000004
87352071-7fbd-449f-a0e5-f274ebc7253e,1977/08/25 00:00:00,"DE R$ 3.800,00 A R$ 7.600,00",-12.635691154053,-38.087400898185,1977,8,25,0,44,1960 a 1979 - Geracao X,1897,2905701,Camaçari,BA,785.421,9,Point,-38.087400898185,-12.635691154053
a8d37b5c-c8e1-4e73-9556-5234663b702e,1973/03/27 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-12.701954736846,-38.324505789478,1973,3,27,0,48,1960 a 1979 - Geracao X,1897,2905701,Camaçari,BA,785.421,9,Point,-38.324505789478,-12.701954736846
729f8c7d-654d-43e6-881f-469d9259ed13,1980/11/03 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-12.696656666671,-38.334680000004,1980,11,3,0,41,1960 a 1979 - Geracao X,1897,2905701,Camaçari,BA,785.421,9,Point,-38.334680000004,-12.696656666671
e69811d7-8329-4ca2-af9d-4a1d140c3a9e,1962/05/20 00:00:00,"DE R$ 788,00 A R$ 1.140,00",-19.721830000004,-50.187270000004,1962,5,20,0,59,1960 a 1979 - Geracao X,2632,3134400,Iturama,MG,1404.663,1,Point,-50.187270000004,-19.721830000004
0a401a29-1528-4ace-983b-08e64b29fd42,1949/07/14 00:00:00,"DE R$ 788,00 A R$ 1.140,00",-3.835280909095,-50.634117272731,1949,7,14,0,72,1940 a 1959 - Baby Boomers ,237,1505486,Pacajá,PA,11832.323,1,Point,-50.634117272731,-3.835280909095
1c1b820c-7315-4999-8f25-eac141df14b1,1952/06/10 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-24.162977777782,-46.778376666671,1952,6,10,0,69,1940 a 1959 - Baby Boomers ,3519,3522109,Itanhaém,SP,601.711,1,Point,-46.778376666671,-24.162977777782
d140a3dd-12fc-442a-8555-0f7101e673cf,1985/10/13 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-1.510649293785,-48.688985200862,1985,10,13,0,36,1980 a 1994 - Geracao Y,168,1501303,Barcarena,PA,1310.338,4,Point,-48.688985200862,-1.510649293785
ffa52ff5-3fa9-4a04-9c16-86e12e63d546,1988/10/30 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-1.505840000004,-48.621325892861,1988,10,30,0,33,1980 a 1994 - Geracao Y,168,1501303,Barcarena,PA,1310.338,4,Point,-48.621325892861,-1.505840000004
87033532-1aa1-4d41-9430-706901c6a482,1988/12/05 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-1.516709122811,-48.623183508776,1988,12,5,0,33,1980 a 1994 - Geracao Y,168,1501303,Barcarena,PA,1310.338,4,Point,-48.623183508776,-1.516709122811
c84a8ee5-e351-4adb-8486-9915cb9c82fe,1985/03/07 00:00:00,"DE R$ 3.800,00 A R$ 7.600,00",-1.500047692312,-48.623671538466,1985,3,7,0,36,1980 a 1994 - Geracao Y,168,1501303,Barcarena,PA,1310.338,4,Point,-48.623671538466,-1.500047692312
eb7e42ca-9160-46a6-b406-9d82ba944cfb,1925/08/07 00:00:00,"DE R$ 788,00 A R$ 1.140,00",-22.5802757732,-46.525088006877,1925,8,7,0,96,1900 a 1940 - Veteranos,3847,3552106,Socorro,SP,449.029,12,Point,-46.525088006877,-22.5802757732
2d718316-c79c-4538-b9d7-ef7582cc3d46,1954/07/24 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-22.591213125004,-46.529561250004,1954,7,24,0,67,1940 a 1959 - Baby Boomers ,3847,3552106,Socorro,SP,449.029,12,Point,-46.529561250004,-22.591213125004
782ec385-b5b0-4b38-a5c0-be97cb337fd8,1952/03/28 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-22.592340000004,-46.528560000004,1952,3,28,0,69,1940 a 1959 - Baby Boomers ,3847,3552106,Socorro,SP,449.029,12,Point,-46.528560000004,-22.592340000004
404b0093-241e-4a07-9e9b-cc08e78f7aac,1936/09/17 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-22.587590000004,-46.522570000004,1936,9,17,0,85,1900 a 1940 - Veteranos,3847,3552106,Socorro,SP,449.029,12,Point,-46.522570000004,-22.587590000004
7dc91797-bdf8-446a-8834-72f1cfb14e88,1958/10/10 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-22.591389000003,-46.528889000003,1958,10,10,0,63,1940 a 1959 - Baby Boomers ,3847,3552106,Socorro,SP,449.029,12,Point,-46.528889000003,-22.591389000003
f6c27279-d6e8-4074-b09d-d1fafb29b273,1944/06/08 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-22.588494838714,-46.517294838714,1944,6,8,0,77,1940 a 1959 - Baby Boomers ,3847,3552106,Socorro,SP,449.029,12,Point,-46.517294838714,-22.588494838714
3e79354b-c407-4b32-ba5c-96e108f329db,1956/06/28 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-22.581568333337,-46.527680000004,1956,6,28,0,65,1940 a 1959 - Baby Boomers ,3847,3552106,Socorro,SP,449.029,12,Point,-46.527680000004,-22.581568333337
211d8fe6-d838-4603-867b-c9964f8542e9,1924/07/24 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-22.592340000004,-46.528560000004,1924,7,24,0,97,1900 a 1940 - Veteranos,3847,3552106,Socorro,SP,449.029,12,Point,-46.528560000004,-22.592340000004
97fd6860-fb4f-4594-8539-5bd135b12f58,1939/06/25 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-22.588701111115,-46.517819629634,1939,6,25,0,82,1900 a 1940 - Veteranos,3847,3552106,Socorro,SP,449.029,12,Point,-46.517819629634,-22.588701111115
